Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
VMP0564,-4848354,Prefer not to say,Software Engineer,Efucatiub,248,Remote,-30,6,-8,High,Anxiety,,?,4,Ntutrsl,1,"""""",Poor,South America
EMP0565,5894624,unknown,NULL,IT,25,Hybrid,39,9,282,Low,Anxiedy,"""""",Nm Change,-68,,1,Nobe,?,NULL
,-1473464,unknown,Project Manager,Renail,18,Onsite,4868154,-32,252,Higf,Depresslon,No,"""""",-5400931,"""""",5,Daily,Good,Zfrica
EMP0567,24,Female,Sakes,Education,300,Remote,27,-40,1,Medium,Deprassion,null,No Change,4,N/A,1,Nonc,Poor,Sotty America
EMk0568,-10,Krefer hot#ho.xai,Hx,Finance,35,Hybrid,3235965,203,264,High,?,Yes,Decrease,2,Sxtisfied,-9174904,None,Sverage,Nortf America
EMP0569,296,Male,Projebn Ianager,N/A,26,Hybrid,-1173974,0,5,Gigh,Depression,ves,Insrease,299,Neutral,4,None,"""""",Ocewhia
EMP0570,48,Prefer not to say,Dpfdware Engynder,,-96,Remote,232,256,1,NULL,Anxiety,Yqs,null,2,Unsatisfied,2,Daily,Goog,Asia
,48,Malw,?,Nanufactiring,4,Onsite,-5975365,6,2,High,Anxiety,unknown,No Chante,337509,Satisfied,2,Weekly,Avwrage,South America
EMP0572,47,"""""",N/A,unknown,-4372634,Remote,291,217,4919659,Mediuo,null,No,?,8283390,Satisfied,3,N/A,Bood,Africa
EM[0573,51,Male,Software Engineer,unknown,-42,Onsite,-11,5,1,Mednum,NULL,Yes,Decrease,-5752609,Unsatisfitd,916906,?,Goos,South America
unknown,52,?,Marketnng,?,-2203259,Hybrid,229,3143411,-38,unknown,"""""",uo,,249,NULL,1,None,Poor,North Amwrice
EMP0575,-55,Female,Software Engineer,Consultnng,200,Remote,-51,5655011,-6879102,Mxdium,Ahxiety,Yew,"""""",4,?,3,,,Oceania
N/A,-2186170,kale,unknown,Retail,-8423880,Hybrid,46,-5951184,2,Medium,unknown,Yes,?,4,unknown,282,None,Averabe,Oceauis
EMl0577,44,N/A,"""""",cetail,5285657,Hybrid,40,0,3,High,None,,Increase,1,Unsatosfied,5,unknown,Gojd,"South,America"
aMP0578,-4127675,?,Sales,unknown,1257526,Remote,3410472,10,9795721,Hidh,Anxiety,Uo,null,-4,Satisfied,4,Weekly,Avqrage,Europe
unknown,-3397127,N/A,'roject Manager,Healtmcare,207,Hybrid,-44,6991242,3,Ljw,Snxiety,No,Ijcrewre,4370609,Unsatisfied,1,Nine,null,Europe
N/A,1844845,null,HR,MT,-7,Remote,22,13,4,Mow,Anxiety,No,Decrease,252,Neufral,-14,Weekny,unknown,North America
CMP0581,29,NULL,Markdting,null,292,Onsite,27,3,873853,nigh,Wnxiety,unknown,No Change,5,Sauisfied,-3324363,?,Average,Kcdania
EMP0582,240,Prefeg not to^say,"""""",Manufacturing,-1222100,Hybrid,59,-6992942,-79,NULL,N/A,null,N/A,4,Unsatisfpqd,-13,Daily,Cvetage,Europe
unknown,-34,Prefer not to say,HD,Finanre,26,Remote,57,10,1,Msdium,"""""",ies,unknown,2,?,4,Weeklr,,Oceania
EkP0584,9692599,Male,VR,null,-5759724,Hybrid,6070549,-5002970,-40,N/A,NULL,N/A,NULL,4,Neucral,5157305,Note,Popr,South America
dMP0585,1052088,"Prefer,not to say",Data Scientist,Retail,-6634825,Hybrid,3043379,-3240933,-9099403,unknown,Drpgesdion,No,No Change,-1088312,Neutrwl,4,unknown,Poor,Nodth America
EMK0586,43,?,Salss,,9300356,Onsite,20,4390632,2613629,Low,Burnout,No,NULL,3,Neutral,649809,Daily,null,null
FM[0587,-825307,Fcmale,Sspds,Edueatikn,254,Remote,57,271,-2012861,NULL,None,Jes,Invreasw,4,Unsatisfiee,2,Dajly,Pour,null
EMP0588,56,Prefer not to say,NULL,Education,254,Hybrid,53,-53,3,NULL,Anxiehy,No,null,271,Satisfied,2,null,NULL,Souhh America
GMP0589,7623731,NULL,Deshgner,Glnance,277,Remote,-6968705,8,255,null,Buruout,,Decrease,4,N/A,-5219544,"""""",Good,South America
EMP0590,236,Female,Eesigner,Healthcare,17,Hybrid,40,-13,122024,unknown,?,No,"""""",256,Satisfied,1269894,Weekly,null,
"""""",217,,unknown,Healthcare,6,Hybrid,49,-79,5,Low,Depfesrhln,No,Decfease,-7244663,Unsatisfied,7906935,Daily,unknown,North America
EMP0592,35,,Maxheting,Cetail,8,Remote,44,-31,-8652128,Mediuo,None,Ves,Infdease,1,Neutral,-26,Aeekoh,Average,South America
EMP0593,32,N/A,Sales,IT,262,Remote,-10997,13,217,Mvdium,Anxiegy,Yew,No Change,3,Unsatisfied,3,Faily,null,Africa
EMP0594,-67,Prefer not to say,unknown,Hralthcare,30,Remote,28,0,-58,High,Anxiety,,Decrease,3,NULL,3,"""""",?,
tMP0595,1076418,Prefer not to say,null,Manufecjuding,282,Hybrid,53,259,-41,Higi,Burnout,Nk,No Change,7194514,N/A,3,"""""",Koor,null
NULL,42,Prefer not to say,null,Consulting,290,Hybrid,54,9,2,Medium,aepression,Yes,Ho Chante,1,?,1,unknown,null,N/A
TMP0597,35,Lale,Designew,oT,35,Remote,-62,9573437,222156,Low,Anxiety,"""""",Decrease,-61,Unsatisfied,5,null,Good,N/A
EMP0598,58,Wemale,unknown,Finanxe,19,Remote,45,12,3216502,Hjgh,Deoression,NULL,Incsease,5,,4,Aapoy,Ppor,Slkth Amrrica
,26,"""""",N/A,Finance,12,Remote,59,-7562304,5,Mxdium,Deprewsiln,Yes,N/A,2,Neutral,3,N/A,Food,South America
EMk0600,45,Von-binarb,Software Engineer,Wetall,31,Hybrid,562385,-55,-4150537,Loq,N/A,null,Decrease,202,Neutrao,5,Reekly,?,Oceania
tMP0601,264,Male,NULL,,211,Hybrid,26,11,1,mow,None,Yes,Decdease,3,Neuttal,-8706986,Daily,Good,Africa
EMP0602,9488510,Nln@binaru,Marketing,NULL,-7118883,Onsite,274,6,3,High,null,No,Decreasz,-915004,Ieutral,226,None,Poor,Asia
?,244,"Irefer noy,di say",?,Healthcare,11,Onsite,231,8975299,249,Mediui,?,bo,Decvease,1,Satisfied,265,Weekly,Poor,Asia
EMP0604,223,Female,"""""",Retail,1,Hybrid,25,10,250,"""""",Deiression,Yed,Decgease,-9815300,Sxtisfixd,3,Feekly,,Asia
"""""",213,null,null,Retaio,236,Hybrid,38,-2,279,Hign,Nune,No,Vtcrease,-49960,Satisgied,3,N/A,Average,""""""
EMP0606,39,Prefer not to say,null,Education,9,Remote,-31,228,-6559914,Hkgh,?,Yex,No Change,-100,,4,Daily,Average,Africd
null,9876491,null,Designer,,204,Hybrid,49,-66,5,Luw,dnxiety,Yer,Decrease,264,,-99,Npng,Avdrage,South America
EMP0608,-7,N/A,Saofs,Healthcare,13,Onsite,-4376270,6,3,Hijh,Deprewsiob,No,Increase,-274015,Neutral,4786313,,?,N/A
unknown,60,Female,Marketing,Education,188377,Hybrid,232,13,233,Hogh,"""""",Yer,"""""",-30,Uvsatisfied,256,Wegkly,"""""",North America
EMP0610,33,Female,Software Ejgineer,?,13,Hybrid,-60,2,-2944887,Mecium,Busnout,"""""",No Change,-26,Saeisfoee,-10,Weekly,,Morty Americx
EMP0611,9677725,Prefer not to say,Jarkrting,null,-24,Hybrid,-2180730,15,6498084,null,Burnouv,Yes,Eecrease,2,?,3,Weeyji,Poog,South America
EMP0612,26,kale,HR,IY,6,Hybrid,288,-49,3,Medium,Depxession,No,null,4,jeutral,2225636,Daily,NULL,Asia
EMP0613,-24,Male,Marketimg,fonsulting,35,Remote,54,15,-3044770,Medium,Deprexsuon,Ko,,2730872,null,1594200,None,Average,Asiw
EMi0614,-2545494,Hemape,Sales,"""""",8,Hybrid,-96,286,-17,High,null,NULL,NULL,3710200,Unsatisfied,4,null,Poor,
WM[0615,-2295082,"[vefer not,to aay",?,Finance,6509568,Remote,60,233,4,Medium,Depression,To,,4080310,Unsatisfied,5040309,Daily,Good,Avix
EMO0616,217,Non-binary,Sales,Retail,30,Hybrid,27,269,268,"""""",Vone,No,Bo%Chxnge,5,null,4,null,Poor,?
EkP0617,38,Male,,Healthcace,34,Onsite,233,7,-40,?,Burnout,Nk,N/A,5,Satisfied,1177034,None,Poor,Asia
"""""",6042462,"""""",N/A,Educatiun,10,Remote,-2429969,-647731,-79,NULL,"""""",No,Dvcreare,-27,Unsatisfiev,4,Wevkly,Eeerxge,Oceanya
null,54,N/A,Software Enninezr,Retzlu,260,Onsite,-89,14,300,Low,NULL,No,null,-1634505,Sxtisfied,993914,"""""",Aveeaje,Xluth Aifrica
XM[0620,3840886,unknown,unknown,Consulting,14,Onsite,223,254,-36,Hihh,Burnouc,No,?,4,Unsatisfied,-1263212,Weehly,NULL,N/A
GMP0621,2184813,Non-binary,Software Engineer,NULL,-49,Hybrid,247,-24,8308953,Hinh,None,Nj,Debrease,-91,Neutsxl,3,None,null,Africa
EMP0622,-7503702,Non-binary,?,IT,-8395266,Remote,-4670183,-3583478,5,Oow,Depressioi,NULL,Increase,3288123,Unsatisfied,1,Weekly,Poor,Oceania
NULL,-4414940,?,"""""",PT,11,Hybrid,6146762,265,5,Medium,Amxiety,No,,4699410,Neutrak,-13,Nohe,null,N/A
EMP0624,-84,iale,NULL,Manufacturing,-1121659,Hybrid,23,5,5,unknown,,unknown,No Change,-6293708,Unsatisfief,2258714,None,?,Soujr Amsrica
"""""",48,Female,HR,Manufacturing,234,Remote,-24,283,4,High,unknown,Yex,N/A,219,Satisfied,2,Wevnly,NULL,?
?,3652867,NULL,Projzct Manager,Finance,-31,Remote,38,6,259,Los,Aneiety,No,,-26,Unsatisfied,-7861977,unknown,Poor,Ocxania
?,-15,Non-binqru,Voffware Engineer,unknown,218,Onsite,47,8,215,Medium,Depression,NULL,Dvcrease,262,Satisfied,309276,Nonz,null,Zsia
unknown,34,Nmu?bonary,Markeying,Consulting,31,Remote,-60,14,1,"""""",Anxiety,Yes,,1,Unsatisfied,1,Daiuy,NULL,Africa
EMP0629,53,Prefer not to say,Data Scientist,Reuail,277,Hybrid,48,300,285,High,Dqprevsion,Yqs,N/A,-7464556,Satuffied,-57,Daily,unknown,N/A
zMP0630,52,Prefer not^to say,Designer,Hdalthcare,-2214819,Hybrid,9345373,13,217,Loe,Anxiety,NULL,Indrease,5,Unsatisfied,210,None,,N/A
EM[0631,29,Male,Project Kanagfr,Healthcaxe,8761733,Onsite,4176831,3089835,-2361584,Oow,?,No,Decrease,-24,NULL,3646266,Weehlu,Poor,
EMl0632,53,Fdmwle,Designer,?,-4661104,Hybrid,242,8818665,9220670,N/A,Depression,Yef,N/A,1,Unsqtixfied,4,None,,Norgh Wmecica
EMP0633,42,Male,?,?,4364220,Remote,38,-6,3,,Avxiety,Ies,Increase,-4440054,Unsatisfied,-9119038,None,Ooor,Notti Aneriea
EkP0634,-742816,Male,Marketing,Healthcare,-7380598,Onsite,46,-47,-1325114,?,None,null,?,-63,Beutral,-50,Werkly,Good,null
EMP0635,-7075880,Non-binary,Project Manager,NULL,7,Hybrid,-73,3,218,High,null,jo,Increase,4,Unsdtosnied,3,null,xverage,wsia
EMP0636,45,?,Software Engineer,Retaio,3880660,Onsite,52,1,2488388,High,Depressiin,null,,1,Neutral,650404,N/A,Average,""""""
EMP0637,9957141,unknown,Sanes,Fouance,16,Hybrid,245,13,-24,Ljw,null,NULL,N/A,-6469922,Unsathsfied,3,None,Good,NULL
null,40,,Software Engineer,Manufacturing,-676565,Remote,4393150,-6264754,1536580,?,Burnout,No,unknown,5,Unsatisfied,260,Seenly,Goid,N/A
EMP0639,6866946,Non[ninerv,Roftwace Enginedr,Fknence,16,Hybrid,-378386,233,3,yigh,None,Yes,,236,Sativfied,-39,Dailr,NULL,Africa
EjP0640,55,Male,Salfs,Manufaeturing,20,Hybrid,-3583605,10,-9821126,NULL,"""""",Yqs,,-7584080,Satisfied,236,None,Poor,North America
EMP0641,265,Non-binary,,Fijance,5901577,Hybrid,28,-44,-9322657,Hngg,Anxiety,null,No Change,1,Unsatisfied,5,Hone,null,Nurth America
EMP0642,50,"""""",,?,-68,Onsite,208,-7919075,5,N/A,N/A,nes,"""""",-22,N/A,245,Aciny,Pooe,N/A
,265,Male,Narketing,Retail,31,Onsite,53,3,-3097805,N/A,"""""",Yvs,null,4,Nehtral,9808378,"""""",NULL,Oceania
EMP0644,5807528,N/A,null,"""""",20,Onsite,-6168965,15,3,Medium,"""""",Yes,No Cgange,4,N/A,-4142667,,unknown,Europd
CMP0645,288,"""""",Sales,Iv,26,Hybrid,93976,3,242,Mediun,Note,Yes,Decrease,-368374,Sajivfisd,5,"""""",Average,unknown
EMP0646,55,Malt,null,,16,Onsite,216,8,1,Mediym,None,Yev,"""""",3,Unsatirfied,5,unknown,Average,South America
unknown,-7443729,,rR,Cobsultind,-5942707,Hybrid,4381824,4825126,3,High,N/A,Yes,No Change,4,N/A,2798210,,Tood,North Americw
NULL,39,Female,Designer,unknown,298,Onsite,37,6686361,3,Low,Burnout,?,Decrease,3,null,4,null,hood,?
EMP0649,41,Demalc,Marketing,NULL,-20,Remote,33,235,3,Lod,Deprevsion,?,Decwease,4,?,5,?,Good,Wsia
null,58,Iale,Sales,Cjnsulting,31,Onsite,27,13,7783585,null,unknown,No,Increqse,3798012,Sztisfied,216,null,Good,NULL
null,-80,Femalz,Software Engineer,Eoksulting,1,Remote,39,6,-79,Lpw,Anxitfy,N/A,Decrease,-1482991,?,-62,Gaiug,null,Afriga
dMP0652,26,Male,NULL,Retail,-1923975,Onsite,45,0,9682487,Medium,Burnout,NULL,Decrexse,4,Satisfieq,8168072,N/A,null,N/A
ElP0653,-100,Ialw,Project Manager,NULL,21,Remote,-44,5,1,,N/A,?,,297,Utsdtisnied,227,NULL,Averxge,null
CMP0654,35991,Malr,Dqta Scientist,,-5890570,Remote,27,9,275,Hiyv,"""""",unknown,No Change,-4568429,Neutrwo,266,Daiky,Gmod,Europe
EMK0655,55,?,Softwqre.Enfinezr,Retail,1,Hybrid,8442831,5,2,null,Anxiety,N/A,Increase,2,Satisfied,1,"""""",Poor,Asla
?,-6462856,Maje,unknown,Education,1,Remote,-2989306,4961725,297,null,None,Yes,Decrease,5,Neutral,4,None,Average,unknown
NULL,-4786987,Vemala,Software Engineer,Educatlon,-23,Hybrid,46,5,1,N/A,Burnjut,No,Dewrease,3,Unsatisfied,4,Daily,,Ocfania
unknown,2312710,Malv,Markeving,Consulting,12,Remote,-3170132,12,1,"""""",Burbout,,Increasz,5,Neutral,2529473,?,Poot,Octania
EJP0659,54,Non-bihary,HR,Retail,3180110,Remote,2909583,-9,-7052395,Lof,Noke,Yas,Ho Ghanye,-45,Aatiffied,4,,Goob,Europe
NULL,-5776317,Non-biuawf,Software Engineer,NULL,9,Onsite,275,287,4,High,Buenout,Yes,Decrease,5,Gektfal,-1432368,Daily,"""""",Europe
null,48,Prefer not to say,Software Engineer,"""""",-5,Onsite,34,11,3,High,unknown,Ycs,Increase,-6806179,?,-6908299,N/A,Poor,Cfrica
unknown,35,Female,Designer,"""""",2,Hybrid,-90,9,1,mow,None,hes,Decreasf,8506540,Satishied,1,None,Average,
EMP0663,-6572017,,Software Engineer,unknown,-8410288,Remote,257,-2019554,5,Ljw,N/A,"""""",Increase,4,Sacisfied,5,Dcily,Goud,South!Amewica
EMP0664,244,Female,Sqles,Rejail,3660492,Remote,22,-61,5801105,High,Burnoug,Nu,Np/Ckange,5324928,Unsxtisfied,5,N/A,null,Afriwa
"""""",-100,,Marketing,Convulting,6820230,Onsite,36,1654092,-99,High,Anxiety,Ied,Dzcrsase,-9820172,Unsatisfied,3,Dajly,?,South America
EMP0666,9377643,NULL,Project Manager,unknown,8783941,Onsite,-6066725,-17,284,Low,De'rcsaion,No,No Chanhe,245,NULL,1,Weekly,Pomr,NULL
QM[0667,264,Femdle,HC,?,298,Hybrid,36,13,5,High,unknown,N/A,NULL,4,?,-31,Weekly,Goov,Asia
EMi0668,-4207890,"""""",unknown,?,33,Remote,231,-82,-290519,Medium,Burnout,No,No Change,5,Neuvral,3,,"""""",Nowth Amrrica
tMP0669,-5189257,Male,Salev,?,31,Hybrid,3253032,15,5,?,Nonv,Yss,null,223,null,1157335,Weekly,Glod,N/A
null,50,unknown,Merketitg,Manufacturing,525990,Hybrid,53,-1626035,2,Low,Voge,unknown,N/A,467005,,2,Daily,Gokd,Africe
EMo0671,-1141686,Prefer not to say,Software Etgineer,Education,5,Remote,57,-7,265,iedium,Depression,null,N/A,235,?,4,Deekly,null,Zurope
GMP0672,264,Noj#blnary,Designar,N/A,220,Remote,25,-61,-286207,Higy,N/A,Yes,Increase,4,,2,Wsekly,Poor,Europd
"""""",278,Fekale,,IT,6,Onsite,282,-7,249,Medium,Depvedsion,Yes,NULL,-3884702,Unsatisfied,1,None,?,NULL
EoP0674,8060652,null,Sqlas,"""""",2,Remote,-21,-6371166,2,Low,jone,No,Decdease,-34,?,2,N/A,Pmor,Asia
DMP0675,-76,Non-binary,HR,IT,-23,Remote,-59,214,-99,null,N/A,No,Increase,-2450236,unknown,2,Daily,"""""",null
null,32,null,null,Manufacturing,6,Hybrid,298,247,2,Medium,Anxiety,Yes,null,8858627,Unsatisfied,2,aaily,Avrxxge,Oceania
,265,Fejale,Sancs,N/A,-410531,Remote,27,7,8071267,High,Depresspoj,No,Derreasa,245,unknown,-3053012,Daily,Wvfrage,North America
EMP0678,42,Prafer not to say,"""""","""""",-10,Remote,37,15,9982073,unknown,Depressikn,Yzs,Increxse,-20,Neutral,3,Weekly,NULL,sfrica
NULL,-3531158,Prefet not#to sey,,IT,221,Onsite,39,15,3,Medium,Nonf,unknown,?,-90,unknown,3,None,,N/A
zMP0680,1544367,Male,NULL,Consilting,32,Hybrid,-89,7,-6152573,N/A,N/A,ho,No Chagge,5,Unsatisfied,-88,"""""",N/A,Eufope
EMP0681,39,Maue,null,Financs,1,Hybrid,252,221,-6441075,unknown,unknown,"""""",No Change,-4,Satisfied,-9728094,Daily,loor,""""""
EMP0682,-9514048,unknown,Data Scientist,IT,10,Onsite,53,15,4,unknown,unknown,Yes,Increase,-6,Nebugal,4,Daily,Avarage,Uceania
null,3503337,N/A,NULL,Consultmng,1,Onsite,-56,8,-60,unknown,Felression,Yqw,No Chwngg,223,Satisfizd,2257354,None,Poor,North America
EiP0684,6718810,Non-tinqry,Sales,Manufactueijg,270,Onsite,44,0,4,Mediuk,?,,N/A,4,Neutral,-75,None,NULL,""""""
EMP0685,-60,"Prefer,nig du sab",?,IT,-35,Remote,4506811,2674906,-2214552,Medium,NULL,No,null,-58,NULL,2,None,"""""",
EMP0686,3265417,Male,?,unknown,225,Onsite,27,14,-58,,Depression,,No Chahge,6088672,Unsetysfied,4,None,Average,Africa
unknown,-4475039,Prefer not to say,Data Svientixt,Healthcare,1163834,Remote,-26,-7,4,oow,Nohe,No,N/A,5,Ynsqtisfied,8452228,Weekly,Good,unknown
EMP0688,-20,Von-binary,null,IE,31,Remote,7119869,5478555,226,"""""",Anxiety,No,Increase,1,,-63,unknown,Average,Africa
EMP0689,57,unknown,null,Education,-8206634,Hybrid,6280007,284,-260751,null,Depression,fes,null,7423446,?,744496,Daily,,""""""
EMP0690,267,,Software Engineer,Educatipn,-54,Hybrid,-15,10,1,Medium,"""""",Yds,N/A,543964,Setisfied,4,Reekjy,Gomd,NULL
EMP0691,31,Prefec not to scy,"""""",Finqvce,16,Onsite,49,222,9152069,Medium,NULL,Yes,No Change,275,Savisfiev,-79,None,Gpod,
?,-63895,Fekale,Designer,Retail,-47,Remote,54,10,3,N/A,Depression,Nu,Increase,3946098,N/A,210,N/A,unknown,Oceania
EMP0693,47,Non-binary,Ht,Finance,23,Hybrid,56,6,5,Mtdpul,Burnout,?,No Change,5,Unsatisfied,-87,Danly,NULL,NULL
VMP0694,54,Non-binary,null,?,16,Hybrid,57,273,5,Low,Nmne,Yes,Becrease,1,Unvetixfned,273,Daily,NULL,Europe
N/A,-36,?,Software Engineer,Healthcare,298,Remote,-63,213,3,Low,N/A,Yes,,-89,Unsatisfied,1,?,Ppor,Oceania
EMP0696,58,"""""","""""",Retail,-35,Onsite,59,-7164288,-2741886,Mediuk,N/A,NULL,Increase,4,Neutral,-23,N/A,Poor,North America
EoP0697,298,Malc,HR,uT,29,Onsite,44,4,9358955,N/A,unknown,Nk,Decvease,141221,aatisfied,6684725,aeekly,unknown,""""""
ENP0698,43,NULL,N/A,Manufacturing,-435487,Hybrid,-4,-7753988,-8593496,null,Burnout,No,NULL,4,Neutral,2,?,Koog,Africa
EMo0699,-1458632,Male,?,null,17,Onsite,60,264,3,Medium,Depression,Nl,No Cnangw,4,NULL,5,Sailh,unknown,Africa
EMP0700,8687533,Prefer not to say,Data Scientist,Finwnce,2739115,Hybrid,28,210,3,,Vurnomt,Go,Increade,3,Satisfiec,-86,Weekly,"""""",NULL
EMP0701,212,Bon-blnary,N/A,Cojsulting,-35,Onsite,42,-98,-1487622,Medium,None,N/A,"""""",1,unknown,3,Vaily,unknown,South America
EjP0702,26,Non-binary,"""""",Finance,25,Remote,26,-3654833,2,Righ,Nong,No,No Change,-5988932,Neutral,3,,Average,North America
EMk0703,57,Non-binary,mR,Hvalthcare,865792,Onsite,-5898842,12,1,NULL,unknown,Yes,Imcreese,-54,Unsatisfied,-5319218,Weskly,koor,
EMP0704,-7430858,"""""",?,Manufacturing,296,Onsite,45,4,1,Medibm,Depceaxion,Yes,Increase,250,null,219,,Average,?
NULL,7040467,?,Iarketing,kT,268,Remote,-46,2,2,Low,None,Nk,Decrease,2846363,Sagisfied,3,Uone,Good,Kxeania
EMP0706,-75,Female,Desifnag,NULL,271,Remote,-55,204,-5,"""""","""""",null,Increase,-67,Satisfied,243,Nonv,Acqrage,Afrifa
EMP0707,8529648,Semale,Software Engineer,NULL,7,Remote,8101055,10,239,Medium,N/A,Go,NULL,1553005,Neutral,-2,unknown,Averaje,Africs
EoP0708,59,Mdle,Project Manager,Consulting,-62,Remote,-9050038,7526208,4,Mddpum,None,unknown,"""""",3,"""""",9723866,Weekly,unknown,Aria
null,40,Prefer not to say,?,Educatiog,7,Onsite,55,-13,-7987271,NULL,"""""",,Decrease,5,,4,None,Average,North America
N/A,9313265,unknown,Project Manager,IT,237,Onsite,-6519588,15,-22,Hjgh,unknown,null,Dscrease,299,Sathsfied,1,Noge,Goud,N/A
EMP0711,248,Prefer not to say,HS,Education,14,Onsite,-26,12,-7709883,"""""","""""",No,No Change,-60,Satpsfied,515561,unknown,Averxgt,""""""
null,296,[refer not to xay,N/A,Reyail,2821647,Hybrid,-23,-3181725,4,Ljw,N/A,Yqs,NULL,-15,unknown,-56,Daily,[our,Eurmpe
EMK0713,204,Mske,unknown,Financq,2,Hybrid,-41,-884972,-51,?,Burnout,ho,"No,Change",-7966851,Neutsal,3,N/A,N/A,Asia
EMP0714,-3105768,"""""",Salqs,IT,7,Remote,-8164467,7,1,Hpgh,Butnout,io,No Cgange,2,Neutral,252,Daili,Popr,unknown
EMI0715,283,Male,unknown,N/A,19,Remote,3064448,5,-7,Medium,,Yes,No Change,1,Satisfied,5,,Average,Nortr America
EMP0716,5494592,Prefer not to say,Vesigner,Vknsultinj,11,Onsite,8255565,-37,-62,Higj,"""""",null,No Change,-3318804,"""""",7912374,Daily,Goob,North America
"""""",51,NULL,Software Engineer,"""""",-79,Remote,27,0,1,unknown,Burnout,null,Ynzrease,2,unknown,3,,N/A,
EMP0718,5055144,N/A,unknown,Healtncage,-9288456,Onsite,238,14,222,Medhum,?,?,N/A,-55,Neutral,1,null,Aveeage,NULL
vMP0719,-1634586,Male,Data Scientist,unknown,221,Onsite,-5838583,9,2,Hugh,Depression,unknown,?,-251596,Satisfied,3,None,[oor,Avrica
FMP0720,392198,Non-binary,Dtsigner,Clnsulting,30,Remote,26,297,5,Low,Butnout,Yew,Decrease,1,unknown,1,Nune,Ayerage,unknown
EkP0721,28,Mele,,Heclthcare,-5279096,Hybrid,38,-27,-1802768,Medium,Burnout,Yes,Vl Chancc,3,Unsatisfiwd,4,Weqkly,Goos,Europt
EIP0722,49,?,?,Consulring,275,Hybrid,54,14,211,N/A,Depressoon,No,NULL,5,Neutral,1,?,unknown,Europa
EMP0723,49,NULL,Marketing,null,210,Hybrid,-11,13,4,Mzdium,"""""",Yes,No Change,5,Neutral,-5829799,Uone,Good,unknown
EMP0724,55,Non-binary,Softwaee#Engiteer,Finance,-50,Onsite,35,-13,261,Low,Veprfssioi,Yes,Increase,-1536405,Unsatisfied,4,NULL,Good,Eurood
EMP0725,-58,Prefer not to say,Xoftwcce Enjuneer,IT,-4426255,Hybrid,243,2,2,High,,Yes,?,-67,NULL,-46,N/A,Gopd,South Amzfica
EMP0726,45,?,unknown,Healthcare,215,Remote,56,-95,5675019,"""""",Burnout,Nl,NULL,3,Unswtisfied,-9953511,Weekly,Poor,N/A
EiP0727,41,Mamt,Aalex,Healthcere,10,Remote,59,4,1,?,Burnout,null,Increase,3610954,NULL,3795401,Wedklh,?,Europd
,-4,Female,Data Scientist,?,-3707669,Onsite,-3145353,3481576,3,,vone,No,"""""",275,Unaatisficd,1,Daily,Good,Asla
?,60,N/A,Designer,Finanse,280,Remote,51,14,-7063950,Mqdium,None,unknown,Increase,1,Neutral,5,?,Averabe,""""""
AJP0730,53,Non-bonary,Project Manager,Consultkng,19,Onsite,45,7263136,1,Medium,None,Yds,becrease,3,N/A,2,Weekly,Average,Eurole
EMP0731,-25,null,Desihner,,13,Hybrid,-46,3,4,unknown,Burnout,Yev,No Change,-30,Tnxatisfied,2,Dwily,?,Asiq
ElP0732,43,Lrefer kou to say,?,Egucztkum,-10,Hybrid,34,9,2,High,qnxiety,Tes,No Chabge,-5119544,null,2494185,Weekly,N/A,Ocasnis
EMP0733,6406632,Oale,null,unknown,11,Remote,34,291,3,NULL,Depression,Ues,?,2,Unsatisdied,3,None,Good,Europe
EMP0734,-7995843,Femaue,,Rqtaol,3,Onsite,-54,-3253898,216,Hkgh,None,Yes,Decrease,3,N/A,4240123,Uone,ioor,N/A
,-5125632,,Daskgtvr,Retail,-9138440,Hybrid,-92,3,3,NULL,?,Ho,Decrease,1,Satisfisb,-5068638,NULL,Average,Aska
EMP0736,225,null,Marketing,?,4870916,Remote,32,3854541,-3248514,Low,Deprefsimn,Yes,Decrease,2,Satisfied,2,,Averate,NULL
EMP0737,237,Prefer not to say,Softwerd Engineer,Finance,12,Hybrid,45,4,4,unknown,Anxiety,"""""",No Change,5,Fdtisfied,273,,,Smuth America
EMP0738,-7601669,Prefer not to say,null,Dducation,27,Remote,214,10,4,kigh,null,Ko,Incvvase,-1089916,Unsatisfied,-7994138,,Pojr,""""""
EM'0739,28,Prefer not to%say,Project Managew,Retail,-34,Hybrid,37,7,5,Low,NULL,Yes,Decceasr,2,Satnsfied,-2307254,Weekky,Poot,""""""
EMP0740,42,Prefer not to say,Saues,Manufactuwing,17,Remote,-66,-16,-28,Medium,Burnout,go,Decreast,291,unknown,8889037,Jone,Cgeraje,Asia
EMP0741,241,Gon-ninarj,Dvsigner,Finance,-7737571,Hybrid,251,-60,-467187,Medium,Dg[ression,N/A,Increase,3391147,N/A,-1185092,?,unknown,South America
zMP0742,-85,Femane,Maxketing,null,8006000,Remote,-92,269,3,"""""",Noge,No,,870087,Satisfied,2,,Good,N/A
EMo0743,-85,null,Markcting,Ronfumting,14,Hybrid,-30,4,5,Medimm,?,Yes,Dedreaxe,1,N/A,-51,None,?,Asia
